,0
0,France
1,Belgium
2,Netherlands
3,Germany
4,Luxembourg
5,Italy
6,Switzerland
7,Austria
8,Poland
9,Czech Republic
10,Slovakia
11,United Kingdom
12,Ireland
13,Denmark
14,Sweden
15,Norway
16,Finland
17,Estonia
18,Latvia
19,Lithuania
20,Belarus
21,Ukraine
22,Moldova
23,Romania
24,Hungary
25,Slovenia
26,Croatia
27,Bosnia
28,Serbia
29,Montenegro
30,Albania
31,North Macedonia
32,Kosovo
33,Bulgaria
34,Greece
35,Turkey
36,Iceland
37,Andorra
38,Monaco
39,San Marino
40,Vatican City
41,Liechtenstein
42,Russia
